DATA_PASSAGEM;PLACA_CAVALO;PLACA_CARRETA;TIPO;ORIGEM_PAIS;DESTINO_PAIS
30/06/2021;d480eaf6cb703549b857d37d84717055799fb3286e3d9e8aa0146e890f4ccca8;13aee4de6d6bc1310ad31195bc0725c9633c92062f86430ac3b873e449e15117;ENTRADA;PY;BR
30/06/2021;ff5e1f72ceac4555adcbbe6b1284332ac30380d065d70be90cd7b0d1471da819;ac03df800790ec43e44d64b7aa6b325602889adfbdc70b1d827b79ffe056f542;ENTRADA;PY;BR
30/06/2021;a5f8c2f4e74ebc94f9cef794a2ee26f789a3ddba5e22c66c99718cf9cbb5d5e2;2ff5479e96a4bc6746292ae418cc304b0f76d5d2842f21450673cd25ac33631b;ENTRADA;PY;BR
30/06/2021;79c1fd2ccf1be245471a8d8708de9b308c7f29fc6fbfd4ac575fb0c018e70f85;2ff5479e96a4bc6746292ae418cc304b0f76d5d2842f21450673cd25ac33631b;ENTRADA;PY;BR
30/06/2021;679d20506c6b0831d8d0a1aa3b7d132c6b7ee2a36d86cf4dd15e2e6d1a4d1920;2ff5479e96a4bc6746292ae418cc304b0f76d5d2842f21450673cd25ac33631b;ENTRADA;PY;BR
30/06/2021;2aefda5e6c59beb8b10caf4202f798ea9861154ceb47f3f18bc210063c047283;c88a8128a3e053088d7506e386690404464afebbdcbfc6b66aaf995bb059e724;ENTRADA;PY;BR
30/06/2021;a5331429506972759911cff970123ce126cd6b288141f2426b0ab38faf2e6afc;4ba5024c9193de5fef68cce78d45e8039052e67d455d0e192a0d395db77c77bb;ENTRADA;PY;BR
30/06/2021;a00a67809a022c8a96f79f8cb0d6e9fc51b64936f0dc468a76299481978b3f73;d2b692c9a207ddebec00202119ddfff7665709ed47386efde0bc8b19901c619f;ENTRADA;PY;BR
30/06/2021;33ef0d126c8be0f6a238bec7184e008963e3d1b449d78680189997cb61b514dc;7938bffd8b6675a7acd6c0ccd02caebb31047f0998cbf2a0b96ed0d0e49fcffd;ENTRADA;PY;BR
30/06/2021;a3a83886e1c3fe6ed68cb5ff7316e5d094f7130a8bfa49b742b2d3293a0c8653;3c9a365c8097402943ab4f818bfe7a1b52021b34fa635849598bc612e80db4f0;ENTRADA;PY;BR
30/06/2021;5cca98e13bc0da50d876ca8c608c964ace7af35e76d7f005955cfe1a9846ed05;0532b91e8d86c2a3c8871b81894a3f86b403149fd41ea051da7c71bebe0e6154;ENTRADA;PY;BR
30/06/2021;16be2e540abf1e9ef875a0d4489c8df1b2339ca9bfb5d8fbb8d4441f87dfa0ef;e9331f1bfb5a3f7ab713cef08cfa60b7041a813c98412d9d45f8957da00bdeda;ENTRADA;PY;BR
30/06/2021;5e5de6f0033cff067761f3edcda60023f9dabd56f8edd30b94594d7d5ca12c7d;b07ea1a9478fc96e3e6b2c3639eb2474686a77b41db057fc2940f497d21caa9f;ENTRADA;PY;BR
30/06/2021;29a70da422e8cd56913d5b6596a5dbe00b1e5a325d0bc3a1d356ff2e916deb39;d98ee0e5f9399db9381014c9f890f896d3fcb272c2a7a521d0a13aa23085a284;ENTRADA;PY;BR
30/06/2021;91adc09d27565839a8b9386fc328d4cf449e90df0970997beec912b3ddfec08d;f96b2d240bdee50e8604afef070d411dec87d246f9fce0c218f445b2030f521a;ENTRADA;PY;BR
30/06/2021;ba22782a1a5063c4f2fc14bf165fe2458f7c6d418d85eb1294693684c216305e;911a38b4ad7cdaf00c7e948a05cc7720e4de7c18e21fb44e445100fcc3ccb6a9;ENTRADA;PY;BR
30/06/2021;62dfa30e40912b43172030111cfd518b6f48cd0f873da6529ec5bd51718d6c9d;3ccb18f384948e46c17077c71bc96515c0e559bbe3e23b4fe5c5c77884baaac0;ENTRADA;PY;BR
30/06/2021;a73e60b145710bc9211e8be91a3cb411f764fe0a6febd855a524298cdaa24995;70a0a00d74e50b2184e2f6305f6430e30a285dfc493109e82fd3a372b1f54514;ENTRADA;PY;BR
30/06/2021;ca546678aaa978f0e73af54a1b72c649c79cd7545e0442db049cc17aa9a596a8;c985b2ade11d514626f26a47ab1ea15996727c6a06246e85672f6d13a1bac3d1;ENTRADA;PY;BR
30/06/2021;6d941f8b9e6dfa3f8968387c266ab94ff508faa52cb5e26543c02df5a0f98d4e;8c6c32671f0bbb38c2b3be71f6cc7ccc6298a4c0f724eda8857c71bc8d841688;ENTRADA;PY;BR
30/06/2021;fddf5ff92be569096fc6dad4b39d266c7f56a062c7bba47702731bfcc197daf6;f0bf97f1d00c91beb260a3be1092fb6d4bb4029e88b7c698dbfd98fe5f2b2ab0;ENTRADA;PY;BR
30/06/2021;a90804779c9e49d0466a862767238f585763a380778990fed47466c0a6fba515;25b2585da7214c8cddb5ae4c1c844fb32412f7cd3e41c9c86db5e167d81aafe1;ENTRADA;PY;BR
30/06/2021;ece8eea84d556cc484503d708a0d5a404ba4843176a63caf3180ba7c560a8841;8d0083845fff5ab0e93992f0e19a572f0d3c5a15998c5aad8725e659d219acd8;ENTRADA;PY;BR
30/06/2021;0306e666d1db333befb8e94183415df1d4f8fac684760ac072aa105ad0dd05e9;7a74d13c41ab2114e58c9ab875a6dbce5f952d1a8515d7c2b9a1bfb451fe929b;ENTRADA;PY;BR
30/06/2021;286d7cc2a8ef0ab708efe7d667b8fbabada325dc3b0fa6382ff65e803a7f4cc0;8e569d38826132539ae3fbbb95558c8d0512225bd5523112b494d7fbce22a31e;ENTRADA;PY;BR
30/06/2021;88131cab3c3daf7cd1f5b88b5a25f95511a0144ae4d1a826ccc91b0ef43b7ff5;b82be48a24b75457096ad1195a28381b3eb8f445f158f0b08f2ae0209abe2812;ENTRADA;PY;BR
30/06/2021;92e033e93e486f096473a4be71f248fe0fd142b9799f872472b134c4fd632746;a9a2310567875a3a58f80994110b248b6f238a43a3e19ad16959bb0980b32dc7;ENTRADA;PY;BR
30/06/2021;c313549efac736645fc0a02512421b80d57964ecd02b44bcfd4912691aafe1fd;21eb573d0dbb178c25cce3cd53d732540fde07f34d0c51068fcdbe65d98d9e12;ENTRADA;PY;BR
30/06/2021;4c3e53cde888051015a84f0681ddd46ffa3e0a73e0d2ef4ac797b2020d41cf4f;f1ea9fe5acc2bd3be51e0a9b7a5d649650a9861785a6cf6709c9e9f09e7a82fe;ENTRADA;PY;BR
30/06/2021;5d1c1a39db817a090de420b1795dccd652e673400b2495e9aa89291a6bbd6d4d;b98a121df77ec9c547a94fb6e7ee3b9184ecb0c62af75cab128703f03a181189;ENTRADA;PY;BR
30/06/2021;3928db5992df38bad203e16b40663f29559d1df4f3e49f20b18823a98d7512d6;1fea1f14047c7d933b2ca999b9c14d85c7e9413c1129dae216a25acd1923ef59;ENTRADA;PY;BR
30/06/2021;95f86966b0793b8738fc1e6a61ed6f46f4bfd7f1d80449e725a4842806b71418;da81ef5f9294dddd0f4350863aaf742c73601dbe39ff59dde98723dd58ea5717;ENTRADA;PY;BR
30/06/2021;d39d8460a9630ac04d4af569a9e16533590009c58127a1ca100c58bdba94d12b;5ef8d6af481a0313a3b94aebaea3e0728694468b32d71b58b81d8c2cff36df9a;ENTRADA;PY;BR
30/06/2021;0290ee319c3f92a2f58f4c306efeebf61d88a7a3ad5b99ba259f545af9e61b38;ae203884eb37870c8429b97567d65d18c3bb9f74fb5bdb482a7067b8ef619608;ENTRADA;PY;BR
30/06/2021;c64d8dc872832ceed4f84bb75807df205b4b16037344251ae389e242fd4d81ec;0427d9f43dc97d56fa7257d332661cf2bd30cecafd85d65a2b0336ba73ef3348;ENTRADA;PY;BR
30/06/2021;6c803baa5688c3ff3f53f40aaa0cd7e49a324fe323f39d804b48a7eddcb2544c;c64e267330adab87409b4a34c9244aaa50fb9f702d42c7527ed7f8390fcca493;ENTRADA;PY;BR
30/06/2021;9aa1db47f2d1790c0c38af324cf769983835bfe7514b13638205bebcfe92b412;a792aca1e73c2245df3cfe995dd625938bef9e853f8ef77ea09a115ef86fe102;ENTRADA;PY;BR
30/06/2021;12d0a78620513a603c27a50d0567370157ff6451d266e8140c2beea3c320f329;2338ce469d11e24aa57308caf9342f5739292bf909d3ff4d440b599d39d906f9;ENTRADA;PY;BR
30/06/2021;12e8812d35b421dfcd8427c37e17d9fd63345ce85663530d5da7c2b6ca7d8a60;116422345ec26ebf39d88e4be751b8be1c0529d1e1dbd905d23d7f34c45feda0;SAIDA;BR;PY
30/06/2021;0a270096a7fc789459e945bdf2619eb9b711165e3de083c652631df03c5f4431;1afbca3439d9b26864830852038f7d5f5a02155affa7dc198128bae8bde64a3c;ENTRADA;PY;BR
30/06/2021;b20c05e7e5fcb5432b1a3e324011e1d1074fa11765dbddddb697e688db74e6df;f7c680337f0215237a8b52847e8eda3e761356a020a11b5b52c00fc510faebd2;SAIDA;BR;PY
30/06/2021;b2e41f512f82bb398b918c9eaf8e06b08b7104c4943436571c8b0c6fc7a69259;2ff5479e96a4bc6746292ae418cc304b0f76d5d2842f21450673cd25ac33631b;ENTRADA;PY;BR
30/06/2021;3abffd32dbdaf1a0666744df4440f92e9f388d77637beab786c28a440682da2c;35f234e909242452178ce5827702fd37e733cdbd3c23ae06a712e3f06d13aad0;ENTRADA;PY;BR
30/06/2021;bba0bffe1d3ef74363be2b997c4f0d6a22d4da9feefb7824f188b740122a9438;a9aa979b83a1b524d50926052fd1390cd52e473b505cb307e7c3ddc64dfb5f48;ENTRADA;PY;BR
30/06/2021;5e46108e3dde6f902d4f4dcb2fa982fae0630e218b06f01a888691d8dec4fc7c;a5ec7b078cb584369c445513e0e5df39139523d0859684b6a9bbacd309830a83;ENTRADA;PY;BR
30/06/2021;5e46108e3dde6f902d4f4dcb2fa982fae0630e218b06f01a888691d8dec4fc7c;a5ec7b078cb584369c445513e0e5df39139523d0859684b6a9bbacd309830a83;ENTRADA;PY;BR
30/06/2021;f43ed0e66b3ff535877f88fe81c3850e167f85411c6cf65ed6078ad511eb69c1;42d179fbd1f44f00baf367c2c8f5eef6387ceae49737fb4fe5501d83cb076bff;ENTRADA;PY;BR
30/06/2021;e385fad6d8ce9ade5454cb7000ad98cfe2405feb20fb42f2985c634eacb22c99;a85f2413785b32b1b2fe66804fb0a0b4d553eefb40e5f3665750a525861e0053;ENTRADA;PY;BR
30/06/2021;96bc8fd17f7bcbaf74c173b2c75ba7daa68e09fe7dbd4f07acdbbd899830e6bf;c65783af1c1fb0305296d7e4b7ae5892eaa2a5fe0f0f1d057376b42d9af4c4eb;ENTRADA;PY;BR
30/06/2021;d74d1552f9d61c3262d1ac5a475019da22508d63203eddacda7ec370d60a7eee;065935c9650ac882936b55d2266ff0305a66308001524a7cb0729bdda17217f3;ENTRADA;PY;BR
30/06/2021;7536f882a3c1d88e2b51c96fcc54468cedddaed1ce0ec4754d56aeb3663af0c1;6e346939d8851ffe5bec8c734d1bd33611946baee540ad9da52c4a8006437cb2;ENTRADA;PY;BR
30/06/2021;d5d8c10c6de76935578143e8167748688d339e12a982acc09ef3fca3c1170747;6aae60ac73b6e0fe3ae39373d0e1427471c3c4b9bd347f84684af6f5e33dca09;ENTRADA;PY;BR
30/06/2021;f311ff586d1c9bcb9855e0191f16817197faf0460747e94afa267483f5d3bcba;e57e166d0236cd80a34b532bee78e6046b416be13389cbf5ee89c303dfaabecd;ENTRADA;PY;BR
30/06/2021;1b88a26529e34a6dea5aabc7d1433cc540d9cc402886d53d93567d6a753dc80a;031d1adc5c9c45be867d67fc8541995aa2021c746926285c9ea532d2819f0a21;ENTRADA;PY;BR
30/06/2021;2d1a451fe0eb09ddb0db0934918287490cee9a41b4ca6085d10c1a33ecf2dd6e;a6973b0103b95149702b4b945c914f3ae5f14b1cebc8481001e3e8bf86f5b7f3;ENTRADA;PY;BR
30/06/2021;7874b4e9fa34576ab2474e73ae18da924c7127b1f3b7aa36e8a2839527966525;30505fd3d86fa4043db86bed4ac6e37211903b55d42e7a0b73864971281c4249;ENTRADA;PY;BR
30/06/2021;15f4c86c75ed0b38c4ef3973c9b70f83a68e751450158ed3cbfa3553cc57cb4d;acc926b072ab5b0741fd1093139f00638de651b89fbb060f00ba6770022740f6;ENTRADA;PY;BR
30/06/2021;f2b53b1325f6797de10a372e6dce1238eadb9f12f9a90209db991977e37af582;29040dacb35d7d7ac745f78d7723ab6c8c9e52484178c99a8589c27affcb20d6;ENTRADA;PY;BR
30/06/2021;df5e3d134dca3659e94ca5ea00bdd480a53f298d1319c33841d9e9de487a845f;ba097ec2c5a3972e80d5c67aaea13d6b33f0a15b5b1bcf64d59cf67dbe771e6d;ENTRADA;PY;BR
30/06/2021;8f7043682c642b615d8c70f82b1e0d8684ae771a1b01fe7e23d2cd4af5e1e677;fe3d5ab92fd1a68bd9d053e4cd4ecad5475979a434f5ba8dbed69e9bbccafed7;ENTRADA;PY;BR
30/06/2021;f0bbd5cf149b43e3dc9654e9ccab25fff2850653fa8448f4361e2fe912e6d3fb;8cdd707ebfcff3d4a3337f365dc783f9490c9f836a9d2e25c83571864fafe8f1;ENTRADA;PY;BR
30/06/2021;ded9c2c1413ed0e029b4eeae9f46c0b71b2d1846d9a2426b9e49e2f0fe4f3b03;2914ea1fa8bb3223d46e1d49cb99d49b7b6e58692f48d92aafbcc75862334528;ENTRADA;PY;BR
30/06/2021;1a37221db89092e9fdc9be1fe6a6a267892b0013d8670568742ab7c278a56e76;3a2986b277438bce69ea03fdee7a0845b93e38ec09b11d8fb1e3977f2e897e55;ENTRADA;PY;BR
30/06/2021;ae627bf349b6fb04a1d97e370c4937e4c95e70199175678e4d9b29119450c86f;ec3d6f0576eae06dd2b3f0e3d3ae526c668d99996b85e9132abbf283c7e762a6;ENTRADA;PY;BR
30/06/2021;06ba8e759d7718c72a6c73f1c63824b84b9e6c0d0a8e24952adeb97b5e9fc6ef;d5d575d076b34691237af44d419eccfee78086c0b13c9e44fa47ad5149c4222a;ENTRADA;PY;BR
30/06/2021;eb2ae71707972fd7c6777159e15d5a3e74691719abab6b03bad8960f7e03a740;1b98b59b607855fe6e37e9dcb7882dc3307fea4c10e99bbea863a33f602e3bed;ENTRADA;PY;BR
30/06/2021;f38dfc6f235529fd0643a8b8e071e73ac3382fe32e48eb6f13ee6763aa799483;48074a792b1ecf1ad2b95a54987f42abd2fb4942c3cf161a2352b13189d8a4c3;ENTRADA;PY;BR
30/06/2021;b0259ba01d441ec7b7aedecfe517e2dc754cfa627baf551597205aa1d0cf0aa6;f8472d77d376a37ba3f5272c13b1c17bd4224622714320b33ea3ac47703bdf31;SAIDA;BR;PY
30/06/2021;c885182701c981b6011ce4f06cb95c27525e259728eb8776bc3d036ff766697d;4f4961aaf0883d054feaad2db0bee467da93c0f95d595a3d8de6d32e7d9f67bd;SAIDA;BR;PY
30/06/2021;884e45a60c05b508bc9d845dc3a41451a66e4b37609f44fc0b3d4eeb290ed1d5;7908b8e2061d061a9669871da964adca391162a57b8a36a96143ac71d5fcd596;SAIDA;BR;PY
30/06/2021;19b59965fe0e3f715b257ab215d4376d5675d53a905c38ce1e1eaca7d0c68264;e9520f23936b556e57db7ebaba9955ae9f33c9d51f0b361b631d1c7c6072d66b;SAIDA;BR;PY
30/06/2021;6bae720d594cee14e55201f1754153692d479f0380b7970153ce8711e6d202ed;21695b7fb265550efc9ef88b8be52b8f5e6e71ab04692fdf77909df88c6a4b37;ENTRADA;PY;BR
30/06/2021;37c373e33696b7d4a895c3dbcdbf914e676138cbc43ed9a574a7bb591eb0a529;384755acc040ac966b14ae244347cdd949c347f2a8a58d637ecdf5856a443510;ENTRADA;PY;BR
30/06/2021;654d205e6ba5aa8e519fbd72d2208e0bdedcaba21031efd08fb18754fb2a30a9;c745abf14eee4cc00774634a687b23d0a969afa094d7d7ca2c48a180d658e8fb;ENTRADA;PY;BR
30/06/2021;9e059b0295db8f6c74597e0f3b43143a8c43248886592959344f63caf7917568;c740dd29833c38b5940772c33ba9ab1fbd7d1ab6c952484169b4b5ed69f26a19;ENTRADA;PY;BR
30/06/2021;9e264788d5beea951a97e79ad8cab636d48af426fc06bf5a5c5a1f1be01a6ad7;4a9114591167db8b07f987f95b6698ab4e768011fca8d8f7d06f4f77e47e40d8;ENTRADA;PY;BR
30/06/2021;a3b40c10ec9322a0fa3fa36dac98426c4e30ab19b4f206abc9de55380c236380;4d190018f4b06dd5064c9195b1f33d46308923adf052c0eda111b808c427e512;ENTRADA;PY;BR
30/06/2021;fc6987962e69b2254908c884720085ebc9947a630ab4687ef794e2c773fef23f;2ff5479e96a4bc6746292ae418cc304b0f76d5d2842f21450673cd25ac33631b;ENTRADA;PY;BR
30/06/2021;c8909b96b4a78526150f5ca4d437664ce109b38ee4dbfe9a841a8fb534481e65;c1e10c100b389f12aeffbc121d961f35f6f3a660ec8cb2a0c9fd55a5f6a498b0;ENTRADA;PY;BR
30/06/2021;a334f863f0e9e27261806799a8282150ea746ac292f1300a0259d678fe5f5afc;0749bff53b7e08ce3fb6fe19d376e8416df5226ea645528591c025f64800a87f;ENTRADA;PY;BR
30/06/2021;ce5d1f2e28d6d4e3a997a4ef38838412391b5d3e09570799224687680dd60b1c;2ff5479e96a4bc6746292ae418cc304b0f76d5d2842f21450673cd25ac33631b;ENTRADA;PY;BR
30/06/2021;1e162b3c2e76346f98773972e5ee68c4132aaff6085212c0ad26675a52690d18;d98ee0e5f9399db9381014c9f890f896d3fcb272c2a7a521d0a13aa23085a284;ENTRADA;PY;BR
30/06/2021;b99a68bc5ec5fb8ffeecee7995c460b6254928a43cedbda80ddb2a6a858f97e0;18dea6c9d39a88a77d92c46f7f32bdb2b7668074294b2f16e5d4fc55e176efdb;ENTRADA;PY;BR
30/06/2021;7115bb462d922604800ec941068bd62bdbc4d68b5d10a4f3c9a8295fdf4acf4d;1056e80d494f2d9005cee826ae848f104711d057698bd3f69ea22e24449720f4;ENTRADA;PY;BR
30/06/2021;c285a1729b9e121df495d8eecd3c677ccf0864c7f45e214d24cd7d79990a9caa;4bc1ac0702c31e6567df89357943135c0aee618870f4bf3be2d2a4e80315c0cf;ENTRADA;PY;BR
30/06/2021;6f965ea79c9949e9b1a35be58a5f9f243eface13a3974d17aba43ae41170b956;34b85333fdfed6eda206336c8f32e1cdb2a307085b9c3198f314a77496cbc65d;ENTRADA;PY;BR
30/06/2021;756f020ae6482a723084aa425b896afa72918250bdad874ee6d4a65719de3325;67e82450e9230bd489b681ef65047cc4dee75ba615528c2d0eeff06f18ca4bf2;ENTRADA;PY;BR
30/06/2021;257dc3ac642e041e35707bc27c9bab8f1fb82ab76ee2a1b61a468a087edccb44;8d71d942c6761084a1ea15e638678db147dc208b225ad55a15b5168c169ca317;ENTRADA;PY;BR
30/06/2021;6bd7ca23911c86d49537e1e584c099ea9ac5a88d93d00bbbf19c25e2e97bb6a2;6e87cdf4a70985bffde2fb7e8722327b612cbde85b12171ea015ce90461467ed;ENTRADA;PY;BR
30/06/2021;08d235eddaa56171116fcf0a61da93228b2cf7a073cd8324a07c90ca611908ec;0756ad7f53822db8f241a9f14c9e161518e016686e8fc7095dad1c17079e5d91;ENTRADA;PY;BR
30/06/2021;a853f2b387a2cb48eb27d6d4b9f935ea8084906cf6e4736440c95c83cbb10291;8b10e137b76aac11fb86303ec734cd6bebe9e8c169338dd8ea51340f1a4615f8;ENTRADA;PY;BR
30/06/2021;824e8ec7aac90ee2dfb465897e8b9c609b0a4252d8fdfbb5eab459dcf056eb78;824e8ec7aac90ee2dfb465897e8b9c609b0a4252d8fdfbb5eab459dcf056eb78;ENTRADA;PY;BR
30/06/2021;ee895567f65b42395ed837ee33e52a5fd4adb9c20500082f1695a74a4be765a0;b6544c698901f3666b77a336a9ebd2abd076db78330fee9542a5d62979dd1944;ENTRADA;PY;BR
30/06/2021;587e17916041a801b6dfc66308bf43789fefd22902b7a98749d8c42e3e92b7ca;f7c2489eefbf63d8f88a0a582835cb9f0af8cbdc9ea1ddee07bf16a804b27ae6;ENTRADA;PY;BR
30/06/2021;908ccca3203d2c4f55376f5c8fbaa18076ad9bd594b83b168f43a3339a8c30bb;421d9681013af8e99b17e10f93d982837101934776ed2a0699c8283255b14db3;ENTRADA;PY;BR
30/06/2021;54b81d17a4c96d80bd53511f6ee001b94682b2dcaf289c17a41eb86d82f662bc;9628d0c731fb331aee2dbd96c63186e0ad5df60f1cf1270339df580cd72d449e;ENTRADA;PY;BR
30/06/2021;715ffb18a59942267761de65a2edc7224c85afa77d8e2b6e7f2a0ee0d07acfea;8a5169e68c41a24f2638c4b94bc4515bb7bf57f66f89c140020edc42c15422ea;ENTRADA;PY;BR
30/06/2021;f205035a0bb267408fcbf9c4d14dd208ee575174a3506c52f189b4e0f83f3345;a81ef79944c64f04eac3eea912b2d8774969422449e602342467846d7a097962;ENTRADA;PY;BR
30/06/2021;936f3681d726b4056aea04237989c10d4bb880233e58e4cdd95c82252b4768a8;d12978cc8a3862efc2645f8e95ad273b66692fa534e520e4021df73c99d36751;ENTRADA;PY;BR
30/06/2021;0120359066d5c7742680a83734fa286f9c2e2d3b791725472bcd8e6d8228c5b8;35e77623b2ba2faee78cd0569d967272acc69b054f08714c5398040a39d06246;ENTRADA;PY;BR
30/06/2021;42aaffe4e3537283f3caee8ec5da6c98f0b610058a5d73b112ff872fc1709b97;114e4b92b6d2fd0e347deb4c5900d54c5b93189f1e4a144dd043b3848fa06150;ENTRADA;PY;BR
30/06/2021;914fc4f8c76c4ae7e99379a2584362755fc9a976025b558efa105398501b7d0f;89011b20026f02155f8b1a4ea5e64fa9296a24c8b854980ba8ed63b9db960527;ENTRADA;PY;BR
30/06/2021;03b726189562debe6f04d7eb6342e6d0ad429dc6fda9cb0a34947aa054790c8d;8f9e8951c77247fb25052d3d9d4d8b9dd9d64ff3834fd318df49a82f136360b8;ENTRADA;PY;BR
30/06/2021;ddb548909dce8b950339f6d643e03dd38edce2687556e163a730ac9a1afe3501;660df4f8aeb7d866f36149755413de05ef53dd440066cc217f53768c123aff9f;ENTRADA;PY;BR
30/06/2021;124788308af1e62304fc04f6591ecab4bf20f61c8ce4d0d11ccf5cc67fda935b;3af471bbd144b4b7176ed9496240833070ddefcfcbc2f7cd1145e03fd7cc42ee;ENTRADA;PY;BR
30/06/2021;e1446a0a2fe092e3aacdd739c119418c77a87b61642e0c8a0f781be688921890;b07f4a67698a893e964edcac956191b437d29911ae25fe947243423f8c07cbbb;ENTRADA;PY;BR
30/06/2021;5f05a2c1d8c4c89d0724f63538c57ce8cd701ee02213369dfb0dff68fa684593;7ea7c617001e1e629d91c4d0c82a1c0e40dfa1a41a7248f34f0a633261e955a0;ENTRADA;PY;BR
30/06/2021;d85c2a26268d9000643750b4cdf2ae8436b50fdf774230afd1d6e6c5da068d4f;4e6bf29414d0ded260018ad748adf5cd908b9c5504f4aef55e0d8c75efbd8045;ENTRADA;PY;BR
30/06/2021;fa6b2a9e44a75f6161ca223456eebb6ff0f11d3f1819c90511d4fbb9cbf17606;fd16acbd49dc0be915a2ba1d5a6df03ce11b466d02507f5cc06999abe2c3084a;ENTRADA;PY;BR
30/06/2021;4a65bdb1c9f9c7fa35a67e15765ef6d0164669bab9a05f9683b22bc19b0a19fb;76352c532924f380d7b1b3d97ef8c4f5001c0283813528f9eff35d3aca15356d;ENTRADA;PY;BR
30/06/2021;64c60591a9e83b7d47e2b03c0ae7e33c0a92a68cc9866c2af91981816f753db9;ae5c2d054fdc730b79f85bc611a020a1741db6adf63dd9936e26bb8515b7bb9c;SAIDA;BR;PY
30/06/2021;bbf4a4c94c0d31d4ab20fbd64b3042f2871d8d749d63a71f815ea333b9b1afa5;f2f3ae084b914e461999e6ef19afcc7609b03912ffeaf308c8b94c7a63f2473b;SAIDA;BR;PY
30/06/2021;e9055dd5a8bf2c35f1ad7b82e0c3739eebb4cdbe2e91aa44906453dd63d8c865;1f790db8020a51fea40d71f2458ad3e24cd9d45706ad0ba50a9aa5ef5af22710;SAIDA;BR;PY
30/06/2021;5c26f9609ca9365a9e249dc95df2eb5170a8c39f052712ab4bb0abeacd321ad0;bc83f292b817d2258692a7d1fe36b7039a633173266d16c0f62f721968872649;SAIDA;BR;PY
30/06/2021;dfd02e96255a6604e96f88c815738796ad4441c59d5c98a53b45dcc459807fed;f871c982361290f6cf3caae917222a44d55408def716a58b74424d6c4317e3af;SAIDA;BR;PY
30/06/2021;059eca7bedfab3db907494d9b98dc0f628d8809f9aca98cc537175086d472d5e;3539e0862a28215219b9da0cced578184331539ba3453db8bf98039cf470b0aa;SAIDA;BR;PY
30/06/2021;5f699b8093eb3cd822ec2303a587c66c7879dd2496d1a40b15a4118ba1e602ce;4fd2d593102f66bdfaa6aaf16d511e96358f99d834e007e16993049d7b276fae;SAIDA;BR;PY
30/06/2021;38516a9800f313be64affd1e05937b740e9f0095275ad966abd2717a2e0dcd4e;b0aa8509e078eae732e4ceab76f68a1f68886a41a3d465a04b7f9ef17db8b0b8;SAIDA;BR;PY
30/06/2021;a5f4a441f40dc15810d6eff066787baa6ccb9d72f6da278eab26dadbf4926944;3b17ce4f0292f8411ae6f5262b208a3eb98800a187d89a6da72518e3d35cb094;SAIDA;BR;PY
30/06/2021;9e0b58dc772c96cbeca6284e5d37893e910005ff9d04304199e4da8f52d645db;848c47b46810e620fe959c94bf8852db386ed051e962c2ec42a11fe3c672ebcf;SAIDA;BR;PY
30/06/2021;05c09dc959c96927be43046315eccafdae9435be4e8a6bd50e8eb1f97022fa49;f5885e2022d4f001a0752a8860dfee4ef48d6f9b35d36ce2642382b4fa3b3b30;SAIDA;BR;PY
30/06/2021;587e17916041a801b6dfc66308bf43789fefd22902b7a98749d8c42e3e92b7ca;f7c2489eefbf63d8f88a0a582835cb9f0af8cbdc9ea1ddee07bf16a804b27ae6;SAIDA;BR;PY
30/06/2021;6359409ac3de94c36cd390923d3e0f757f9e260aa72bf0abc18f2628c88f0183;13c1191ca95004026d8b5828a7b8f7cd3f0b2db668953821f618bb2c62fe7f09;SAIDA;BR;PY
30/06/2021;6966e3e7daaabdcd7000cb0edf7ced93e16a16f5a33f94cce95f1c235d928b4d;ce7d91c93a29958bab5fe64675fb3bbe7bbf9297d6d0ed8f67bdd7941fd132dc;SAIDA;BR;PY
30/06/2021;aac34f350b13c181e49f3247675a5f6afbe8b77e96286a16de3b3c7f98c66944;2ff5479e96a4bc6746292ae418cc304b0f76d5d2842f21450673cd25ac33631b;SAIDA;BR;PY
